"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 08 04:40:50 UTC 2023","Sat Jul 08 04:40:56 UTC 2023","5668","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sat Jul 08 04:41:26 UTC 2023","Sat Jul 08 04:41:30 UTC 2023","4006","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Jul 08 04:43:52 UTC 2023","Sat Jul 08 04:43:56 UTC 2023","4069","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sat Jul 08 04:40:06 UTC 2023","Sat Jul 08 04:40:26 UTC 2023","19973","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sat Jul 08 04:33:52 UTC 2023","Sat Jul 08 04:33:57 UTC 2023","5813","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sat Jul 08 04:40:00 UTC 2023","Sat Jul 08 04:40:30 UTC 2023","30904","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Jul 08 04:31:03 UTC 2023","Sat Jul 08 04:31:06 UTC 2023","2742","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Jul 08 04:52:04 UTC 2023","Sat Jul 08 04:52:07 UTC 2023","2968","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sat Jul 08 04:40:21 UTC 2023","Sat Jul 08 04:40:23 UTC 2023","1807","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sat Jul 08 04:35:46 UTC 2023","Sat Jul 08 04:35:47 UTC 2023","1547","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
